"","name","gender","instType","country","lead","degOut","degIn","bet","eig","close","cores","res","degAll","vertID"
"WellsR","WellsR",NA,NA,NA,"N",NA,1,0,0.0201671755276048,1.78778939840887e-05,1,0.0751318375323697,1,389
"WerneckM","WerneckM",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,390
"WetzelD","WetzelD",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,391
"WilliamsonC","WilliamsonC",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,392
"WurdigN","WurdigN",NA,NA,NA,"N",NA,1,0,0.00397443678303731,1.78332590280874e-05,1,0.237059224978044,1,393
"YatesO","YatesO","Male","Other","Chile","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,394
"YoungR","YoungR",NA,NA,NA,"N",NA,1,0,0,6.34469456640357e-06,1,0.276803592808417,1,395
"ZampirolliE","ZampirolliE",NA,NA,NA,"N",NA,3,0,0.221593745440895,1.79314302108736e-05,3,1.93913386160053,3,396
"ZanelattoR","ZanelattoR",NA,NA,NA,"N",NA,1,0,0.0692181436514802,1.79047823673703e-05,1,0.415377843706385,1,397
"ZapataRíosG","ZapataRíosG","Male","NGO","Ecuador","Y",1,1,0,0.00257269486802006,1.78189593727726e-05,2,0.251076644128217,2,398
"ZerbiniA","ZerbiniA",NA,NA,NA,"N",NA,4,0,0.262477948439342,1.79256444269171e-05,4,2.34797589158501,4,399
"ZeregaA","ZeregaA",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,400
