"","name","gender","instType","country","lead","degOut","degIn"
"102","DimitriadisC",NA,NA,NA,"N",NA,1
"103","DittE",NA,NA,NA,"N",NA,1
"104","DizonA",NA,NA,NA,"N",NA,1
"105","DornelesP",NA,NA,NA,"N",NA,1
"106","DrehmerC","Male","University","Brazil","Y",3,NA
"107","DunkerP",NA,NA,NA,"N",NA,1
"108","DussánDuqueS",NA,NA,NA,"N",NA,1
"109","EchegarayM",NA,NA,NA,"N",NA,1
"110","EdwardsH",NA,NA,NA,"N",NA,1
"111","EminLimaN","Female","Government","Brazil","Y",3,1
"112","EngelM",NA,NA,NA,"N",NA,2
"113","EscobarFernándezR",NA,NA,NA,"N",NA,1
"114","EstesS",NA,NA,NA,"N",NA,1
"115","EstevezM",NA,NA,NA,"N",NA,1
"116","EstimaS",NA,NA,NA,"N",NA,1
"117","FabiánM",NA,NA,NA,"N",NA,2
"118","FaillaSiquierG","Female","University","Uruguay","Y",1,NA
"119","FalconíJ",NA,NA,NA,"N",NA,1
"120","FaustinoC","Female","University","Portugal","Y",1,NA
"121","FélixF","Male","NGO","Ecuador","Y",3,2
"122","FernandesM","Female","Other","Brazil","Y",4,NA
"123","FerrerPérezA",NA,NA,NA,"N",NA,1
"124","FertlD","Female","Other","USA","Y",4,1
"125","FettucciaD",NA,NA,NA,"N",NA,1
"126","FidelixL",NA,NA,NA,"N",NA,1
"127","FillaG",NA,NA,NA,"N",NA,2
"128","FlachL",NA,NA,NA,"N",NA,3
"129","FloresP","Male","Government","Brazil","Y",20,3
"130","FlórezGonzálezL",NA,NA,NA,"N",NA,1
"131","ForestellP","Male","NGO","USA","Y",1,1
"132","FountouraN",NA,NA,NA,"N",NA,1
"133","FragosoA",NA,NA,NA,"N",NA,3
"134","FraijaN","Female","University","Spain","Y",2,NA
"135","FrancoFraguasP",NA,NA,NA,"N",NA,1
"136","FrancoTrecuV","Female","University","Uruguay","Y",6,NA
"137","FreitasA",NA,NA,NA,"N",NA,1
"138","FreitasJ",NA,NA,NA,"N",NA,1
"139","FreitasT",NA,NA,NA,"N",NA,2
"140","FruetP",NA,NA,NA,"N",NA,1
"141","FurtadoNetoM",NA,NA,NA,"N",NA,3
"142","GallegoP",NA,NA,NA,"N",NA,1
"143","GallettiVernazzaniB",NA,NA,NA,"N",NA,1
"144","GalloB",NA,NA,NA,"N",NA,1
"145","GalloH",NA,NA,NA,"N",NA,1
"146","GarcíaC","Female","Other","Colombia","Y",2,NA
"147","GarcíaGodosI","Male","NGO","Perú","Y",4,NA
"148","GarcíaJiménezA",NA,NA,NA,"N",NA,1
"149","GarcíaN",NA,NA,NA,"N",NA,2
"150","GasparrouC",NA,NA,NA,"N",NA,1
"151","GedamkeJ",NA,NA,NA,"N",NA,1
"152","GerpeM","Female","University","Argentina","Y",4,NA
"153","GianggiobeA",NA,NA,NA,"N",NA,1
"154","GodardC",NA,NA,NA,"N",NA,1
"155","GómezA","Male","University","USA","Y",1,NA
"156","GómezGallardoA",NA,NA,NA,"N",NA,2
"157","GómezSalazarC","Female","NGO","Colombia","Y",9,NA
