NoAuthorRange,NoAuthors_Classes,Frequency,Percentage
1,1,16,9.5
2,2,35,20.8
3,3,40,23.8
4-5,5,42,25.0
6-7,7,21,12.5
8-10,10,5,3.0
11-15,15,6,3.6
16-24,,3,1.8
