Issue,ppArts/NoArts,NoArts
1(1),7.5,24
2(1),6.0,9
2(2),6.3,10
3(1),8.1,11
3(2),8.2,10
4(1),7.3,9
4(2),8.6,13
5(1),5.9,13
5(2),6.4,8
6(1),11.0,10
6(2),7.6,10
7(1-2),4.6,19
8(1-2),8.0,22
