Acronym1,InstType1,City1,State1,Country1
AQUASIS,NGO,Caucaia,CE,Brazil
TAMU,University,Galveston,TX,USA
IBJ,NGO,Caravelas,BA,Brazil
UFPR,University,Curitiba,PR,Brazil
BioPesca,NGO,Praia Grande,SP,Brazil
UPR,University,San Juan,,Puerto Rico
ETS,Other,Vitoria,ES,Brazil
FIOCRUZ,Government,Rio de Janeiro,RJ,Brazil
GEMAA,Government,Belém,AM,Brazil
OMACHA,NGO,Bogotá,,Colombia
ICMBio,Government,Florianópolis,SC,Brazil
UERJ,University,Rio de Janeiro,RJ,Brazil
UNESP,University,Rio Claro,SP,Brazil
Other,Other,Rio de Janeiro,RJ,Brazil
